lemma	DB gloss	deck gloss	proposed Spanish
ὁ	the (article)	the	el, la, lo
καί	and, also, even	and, also, likewise	y, también, asimismo
αὐτός	he, she, it; self	he, she, it; same	él, ella, ello; mismo
σύ	you (singular)	you	tú
δέ	but, and, now	but, and	pero, y
ἐν	in, within, by	(with dat.) in	(con dat.) en
εἰμί	I am, exist	am, exist	ser, estar; existir
λέγω	I say, speak	say, tell	decir, contar
εἰς	into, to, for	into, in	a, hacia dentro de
οὗτος	this, this one	this, he, she, it	este, él, ella
ὅς	who, which, that	who, which, what, that	que, el cual, quien
θεός	God, god	god	dios, Dios
ὅτι	that, because	that, since, because	que, ya que, porque
πᾶς	all, every, whole	all, every	todo, cada
μή	not (negation)	not, lest	no, para que no
γάρ	for, because	for	porque, pues
Ἰησοῦς	Jesus	Jesus, Joshua	Jesús, Josué
ἐκ	from, out of	from out, from	de, desde dentro de
ἐπί	on, upon, over	(with gen.) over, upon; (with dat.) on, in; (with acc.) on, against	(con gen.) sobre, encima de; (con dat.) en, junto a; (con ac.) sobre, contra
κύριος	Lord, master	lord, master, the Lord	señor, amo; el Señor
ἔχω	I have, hold	have, hold	tener, sostener
πρός	to, toward, with	(with acc.) to, towards, with; (with dat.) near, at	(con ac.) a, hacia, con; (con dat.) cerca de, junto a
Χριστός	Christ, Anointed One	the Anointed One, the Messiah, the Christ	el Ungido, el Mesías, el Cristo
ὡς	as, like, when	as, like, so	como, así como
ἀλλά	but, yet, however	but, rather, yet	pero, sino, más bien
διά	through, because of	through (with gen.); on account of, because of (with acc.)	por medio de (con gen.); a causa de (con ac.)
οὐ	not (negation)	no, not	no
ἄνθρωπος	human, person, man	man, human being, person	hombre, ser humano, persona
ἀγαπάω	I love	love	amar
ἀκούω	I hear, listen to	hear, listen	oír, escuchar
ἀπό	from, away from	(with gen.) from, away from	(con gen.) de, desde, lejos de
ἀποκρίνομαι	I answer, reply	answer, reply	responder, contestar
βλέπω	I see, look at	look, see	mirar, ver
γῆ	earth, land, ground	earth, land	tierra, país
γίνομαι	I become, happen	am born, become, happen	nacer, llegar a ser, suceder
γινώσκω	I know, understand	know, learn	conocer, aprender
γράφω	I write	write	escribir
δίκαιος	righteous, just	just, righteous	justo, recto
δικαιοσύνη	righteousness, justice	justice, righteousness	justicia
δοῦλος	slave, servant	slave	esclavo, siervo
δύναμις	power, ability, miracle	power, strength	poder, fuerza
ἐγείρω	I raise, wake up	raise	levantar, resucitar
ἔθνος	nation; Gentiles (pl)	nation, the Gentiles	nación, los gentiles
ἐκεῖ	there, in that place	there, to that place	allí, allá
ἐκκλησία	church, assembly	assembly, congregation, church	asamblea, congregación, iglesia
ἐντολή	commandment	commandment, order	mandamiento, orden
