lemma	freq	ours	OpenGNT
λέγω	2255	decir, contar	estando diciendo (414) · está diciendo (241) · estoy diciendo (168)
ἀκούω	428	oír, escuchar	habiendo oído (63) · estando oyendo (38) · oí (34)
ἐξέρχομαι	217	salir, marcharse	vino hacia fuera (60) · habiendo venido hacia fuera (46) · vinieron hacia fuera (21)
εἰσέρχομαι	192	entrar	vino hacia dentro (40) · venir hacia dentro (37) · habiendo venido hacia dentro (34)
μέν	180	en verdad, por una parte	de hecho (179)
ὄχλος	174	multitud, gentío	muchedumbre (111) · muchedumbres (57) · a muchedumbre (4)
ἄν	164	(partícula condicional intraducible)	probable (165) · Probable (1)
προφήτης	144	profeta	voceros (72) · vocero (53) · Vocero (5)
βλέπω	133	mirar, ver	estando viendo (27) · Estén viendo (17) · están viendo (14)
ἀπέρχομαι	117	partir, irse	vino desde (37) · habiendo venido desde (25) · vinieron desde (17)
παρακαλέω	109	consolar, exhortar, invitar	estaban suplicando (9) · estando suplicando (6) · estaba suplicando (6)
καλός	102	hermoso, bueno	excelente (69) · excelentes (13) · de excelentes (5)
γεννάω	97	engendrar, dar a luz	generó (42) · ha sido generado (14) · habiendo sido generado (7)
ἀκολουθέω	90	seguir, acompañar	siguieron (18) · estaba siguiendo (12) · estando siguiendo (11)
προσέρχομαι	87	acercarse, aproximarse	habiendo venido hacia (34) · vinieron hacia (17) · Habiendo venido hacia (8)
ὑπάγω	79	irse, marcharse	estés yendo (14) · estoy yendo (13) · está yendo (11)
ῥῆμα	67	palabra, dicho; cosa, asunto	declaraciones (32) · declaración (30) · declaración expresada (2)
πρεσβύτερος	66	anciano; (sust.) presbítero	hombres de mayor edad (53) · hombre de mayor edad (3) · hombres más antiguos (2)
φημί	66	decir	estaba diciendo (28) · está diciendo (17) · Estaba diciendo (15)
δοξάζω	61	glorificar, honrar, alabar	estaban dando esplendor (6) · estando dando esplendor (5) · le fue dado esplendor (5)
χαρά	59	gozo, alegría	regocijo (54) · a regocijo (3) · de regocijo (2)
ἐπερωτάω	56	preguntar, interrogar	inquirió (15) · estaba inquiriendo (9) · estaban inquiriendo (8)
λοιπός	55	restante, los demás	sobrantes (38) · sobrantes (cosas) (1) · sobrantes (granos) (1)
ἄρα	53	entonces, por tanto	realmente (28) · Realmente (21)
μακάριος	50	feliz, bienaventurado	Dichosos (20) · Dichoso (11) · dichoso (8)
φανερόω	49	revelar, dar a conocer	fue manifestado (6) · sea hecho manifiesto (5) · manifestó (5)
κρατέω	47	agarrar, sujetar, retener	habiendo asido firmemente (9) · asieron firmemente (6) · asir firmemente (4)
σταυρόω	46	crucificar	fijaron em madero de ejecución (6) · ha sido fijado en madero de ejecución (5) · fue fijado en madero de ejecución (5)
ἀπαγγέλλω	46	anunciar, informar, proclamar	dieron mensaje (12) · dio mensaje (8) · den mensaje (4)
ναός	45	templo, santuario	habitación divina (43) · habitaciones divinas (2)
φωνέω	42	llamar, gritar	emitió voz (8) · está emitiendo voz (6) · habiendo emitido voz (6)
ἀνάστασις	42	resurrección	levantamiento (40) · de levantamiento (1) · poner(se) de pie de nuevo (1)
Ἰάκωβος	42	Santiago	Jacobo (25) · a Jacobo (9) · de Jacobo (7)
διέρχομαι	41	atravesar, pasar por	venir a través (6) · vino a través (5) · habiendo venido a través (4)
πειράζω	39	probar, tentar	estando poniendo a prueba (8) · estando siendo puesto a prueba (4) · ser puesto a prueba (2)
πλανάω	39	extraviar, engañar	estén siendo hechos errar (4) · estando haciendo errar (4) · estando siendo hechos errar (4)
ὑποτάσσω	38	someter, subordinar	está siendo sujetado (3) · habiendo sujetado (3) · estar sujetándose (3)
καλῶς	36	bien, hermosamente	excelentemente (17) · apropiadamente (9) · Apropiadamente (4)
βλασφημέω	34	blasfemar	estando hablando injuriosamente (7) · estar hablando injuriosamente (3) · están hablando injuriosamente (3)
μετανοέω	34	arrepentirse	cambiaron de mente (6) · habiendo cambiado de mente (4) · estén cambiando de mente (4)
ἀναγινώσκω	32	leer	leyeron (11) · estando leyendo (5) · estás leyendo? (2)
ὑπομονή	32	perseverancia, paciencia	aguante (30) · a aguante (1) · de aguante (1)
πλήν	31	pero, salvo	Además (20) · además (9) · excepto (2)
διάκονος	30	servidor, diácono	siervo (15) · siervos (8) · Siervos (3)
μισθός	29	salario, recompensa	galardón (16) · sueldo (9) · a sueldo (2)
προφητεύω	28	profetizar	habló como vocero (4) · estando hablando como vocero (4) · Habla como vocero (3)
τελέω	28	terminar, cumplir	completó (5) · sea completado (4) · completen (3)
σταυρός	27	cruz	madero de ejecución (26) · (en) madero de ejecución (1)
ἀποκαλύπτω	26	revelar, descubrir	quitar cubierta (3) · ser quitada cubierta (3) · será quitada cubierta (2)
φιλέω	25	amar, querer	estando teniendo cariño (6) · está teniendo cariño (3) · estaba teniendo cariño (3)
ἀναιρέω	24	quitar, abolir; matar	tomar hacia arriba (6) · tomen hacia arriba (3) · tomó hacia arriba (2)
θυσιαστήριον	23	altar	lugar de sacrificio (21) · lugares de sacrificio (1) · lugar de sacrificio? (1)
κοιλία	23	vientre, seno	cavidad (21) · cavidades (1)
περιβάλλω	23	vestir, envolver	ha sido puesto alrededor (4) · se puso (ropa) alrededor (2) · echaron (ropa) alrededor de (2)
καθεύδω	22	dormir	estando durmiendo (7) · está durmiendo (3) · Están durmiendo (2)
κατεργάζομαι	22	producir, llevar a cabo	está obrando hacia abajo (3) · está obrando completamente (3) · obró plenamente (3)
μετάνοια	22	arrepentimiento, conversión	cambio de mente (12) · de cambio de mente (7) · a cambio de mente (3)
ἐκλέγω	22	escoger, elegir	seleccionó (5) · seleccionó para sí (5) · seleccioné (3)
ἐκλεκτός	22	escogido, elegido	seleccionados (13) · seleccionada (4) · seleccionado (2)
ἐνεργέω	21	obrar, actuar, producir	estando operando (5) · estando operando en (4) · están operando (3)
βάπτισμα	20	bautismo	sumergimiento (18) · Sumergimiento (1)
τοσοῦτος	20	tan grande, tanto	tal cantidad (7) · Tal cantidad (3) · tal cantidad de (2)
ἐφίστημι	20	presentarse, acercarse	habiendo puesto de pie sobre (8) · (se) pusieron de pie sobre (5) · ha puesto de pie sobre (3)
ὑπηρέτης	20	servidor, ayudante	subordinados auxiliares (13) · subordinado auxiliar (4) · a subordinados auxiliares (3)
ὑψόω	20	levantar, exaltar	puso en alto (4) · será elevado (3) · estando elevando (2)
γεωργός	19	labrador, viñador	cultivadores (13) · a cultivadores (3) · cultivador (3)
δῶρον	19	don, regalo, ofrenda	dádivas (9) · dádiva (8) · Dádiva (1)
μεριμνάω	19	afanarse, preocuparse	tengan ansiedad (4) · estén en ansiedad (3) · ansiará (2)
βλασφημία	18	blasfemia	habla injuriosa (10) · habladas injuriosas (5) · de habla injuriosa (2)
κόπος	18	trabajo, fatiga	labor (6) · labores afanosas (5) · labor afanosa (2)
ἀποκάλυψις	18	revelación, apocalipsis	quitar el velo (7) · quitar cubierta (6) · de quitar cubierta (2)
ἐμβαίνω	18	entrar, embarcarse	habiendo puesto planta de pie en (8) · puso planta de pie en (2) · pusieron planta de pie en (2)
πλησίον	17	cerca; el prójimo	vecino (14) · vecino? (2) · vecina (1)
ἐξίστημι	17	asombrarse, quedar atónito	estuvieron fuera de sí (5) · Estaban poniéndose fuera de sí (3) · estaban poniéndose fuera de sí (2)
δέσμιος	16	preso, prisionero	atado (11) · atados (4) · a atado (1)
περισσῶς	16	en gran manera, sobremanera	abundantemente (4)
ἀθετέω	16	rechazar, anular	estando poniendo a un lado (4) · está poniendo a un lado (4) · están poniendo a un lado (2)
ἀνακρίνω	16	examinar, interrogar	estando escudriñando (5) · habiendo escudriñado (4) · está siendo escudriñado (3)
γέ	15	al menos, ciertamente	pues (18)
εὐσέβεια	15	piedad, devoción	bien-reverenciar (8) · a bien-reverenciar (5) · de reverenciar bien (1)
κατέρχομαι	15	bajar, descender	habiendo venido hacia abajo (5) · vinieron hacia abajo (4) · vino hacia abajo (2)
λῃστής	15	ladrón, salteador	asaltante (5) · asaltantes (5) · de asaltantes (4)
συμφέρω	15	convenir, ser provechoso	está siendo ventajoso (10) · estando llevando juntamente (3) · ventajoso (2)
ἀνομία	15	iniquidad, maldad	ilegalidad (11) · ilegalidades (2) · de ilegalidad (1)
εὐφραίνω	14	alegrar; (pas.) alegrarse	estando siendo ser bien de mente (2) · estés siendo bien de mente (1) · seamos hechos estar bien de mente (1)
μακροθυμία	14	paciencia, longanimidad	largura de ánimo (14)
νοέω	14	entender, comprender	están ejerciendo la mente (5) · esté ejerciendo la mente -- (2) · estamos ejerciendo la mente (2)
σεισμός	14	terremoto, tempestad	movimiento sacudidor (11) · movimientos sacudidores (2) · Movimientos sacudidores (1)
στηρίζω	14	afirmar, fortalecer, establecer	hacer fijos firmemente (3) · hagas fijos firmemente (2) · fijó firmemente (1)
ἀνθίστημι	14	oponerse, resistir	poner de pie en contra (4) · Estaban poniéndose de pie en contra (1) · (se) ha puesto de pie en posición opuesta? (1)
ἐκπλήσσω	13	asombrarse	estaban siendo estar atónitos (6) · estaban siendo estar atónitas (2) · estar siendo atónitos (1)
καταντάω	13	llegar a, alcanzar	Arribó (1) · Arribaron (1) · encontró de frente (1)
καταρτίζω	13	restaurar, preparar, perfeccionar	estando ajustando (alineando) hacia abajo (2) · ajustaste completamente (2) · ha sido ajustado (alineado) hacia abajo (1)
κλέπτω	13	robar	están hurtando (2) · hurtarás (2) · hurtes (2)
παιδίσκη	13	criada, esclava	sirvienta (10) · sirvientas (1) · siervas (1)
ἀναγγέλλω	13	anunciar, dar a conocer	declarará (4) · estando declarando (2) · declarar (2)
ἐλεημοσύνη	13	limosna, caridad	dádiva de misericordia (8) · dádivas de misericordia (5)
κολλάω	12	unirse	estar siendo adherido (2) · estando siendo adherido (2) · será hecho adherirse (1)
βῆμα	12	tribunal, estrado	asiento de juicio (8) · lugar para asentar el pie (3) · espacio de pisada (1)
λίαν	12	mucho, en gran manera	sumamente (10) · superlativamente (1) · excesivamente (1)
μάλιστα	12	sobre todo, especialmente	mayormente (11) · Mayormente (1)
μεταβαίνω	12	pasar, trasladarse, marcharse	habiendo desplazado (3) · (se) desplace (2) · Desplaza (2)
πῶλος	12	pollino, borriquillo	asno (joven) (9) · asno (joven)? (2) · asno joven (1)
συνέχω	12	apretar, oprimir, constreñir	estando siendo afligidos (1) · estando siendo afligida (1) · estaban siendo hechos tener juntamente (1)
ἀσκός	12	odre	bolsas de piel (12)
ἔσωθεν	12	por dentro, desde dentro	interiormente (9) · interior (2) · Interiormente (1)
